기간,원자력,유연탄,무연탄,유류,LNG,양수,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,기타,전기생산단가평균
2023,48,153,176,343,229,246,159,162,166,164,171,156,209,0,177,145
2022,52,157,202,310,239,278,184,192,191,191,207,185,230,0,206,153
2021,56,99,101,217,122,140,94,94,93,99,104,93,137,0,109,95
2020,60,82,81,193,99,113,66,68,70,73,79,67,113,0,78,80
2019,58,86,102,231,119,121,89,82,94,103,104,89,120,95,98,89
2018,62,82,105,179,121,125,94,95,98,106,107,93,94,97,98,90
2017,61,78,95,165,112,108,80,80,84,91,94,80,80,96,90,83
2016,68,74,89,109,99,106,76,76,77,83,84,76,76,96,87,80
2015,63,71,108,150,126,133,116,98,169,109,113,99,103,98,92,84
2014,55,65,91,221,161,172,158,0,221,153,156,138,160,104,0,90
2013,39,59,92,222,161,204,156,0,172,163,168,147,153,87,386087,88
2012,40,66,104,253,168,214,157,0,171,175,178,155,158,80,1624,90
2011,39,67,99,226,142,169,124,0,131,143,135,134,124,79,997,80
2010,40,61,110,185,128,203,114,0,125,124,133,118,115,67,1109,73
2009,36,60,109,147,130,150,102,0,104,108,109,120,104,7,1361,66
2008,39,51,118,194,144,197,147,0,137,127,134,0,121,5,1436,68
2007,39,41,65,118,105,163,82,0,87,84,94,0,84,3,13948,57
2006,38,38,55,117,103,137,85,0,82,79,84,0,79,2,0,53
2005,39,44,54,93,87,108,0,0,63,63,71,0,60,1,0,51
2004,40,42,52,82,78,108,0,0,59,56,62,0,55,0,0,49
2003,43,43,53,84,90,90,0,0,0,141,79,0,121,8,0,52
2002,40,42,49,71,76,84,0,0,0,49,55,0,46,0,0,47
2001,40,41,57,73,88,74,0,0,0,50,58,0,54,0,0,48
