연도_,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
2002,1075409,26625596,121828,22608174,0,213946,10569580,0,18144211,4933536,970904,69836554,1252727,46273404,52705298,49638106,1504793
2003,884477,28266679,118450,21735272,802,182435,10072245,0,18504469,5414429,1651639,72764064,1547279,52695261,56594743,50521793,1497661
2004,809665,36169111,134805,27945113,13733,264755,11655794,0,15715176,5165882,1414103,77673369,932129,50432669,61887309,50284904,1649451
2005,902858,35779813,144580,33726808,13166,217146,10581146,0,17540668,4706870,1307779,78028417,987269,57241042,71230406,50392078,1839286
2006,1249721,36526608,137565,39145681,17419,216837,10424658,0,16694238,5262586,1189270,82799958,797008,60747503,73967001,49930848,2073808
2007,1599194,35738820,131201,44781497,11478,234641,11182401,0,19095275,5713912,1229683,96253689,689016,60025420,72786922,51298701,2352649
2008,1165462,37657231,113907,49316491,7701,203207,8103303,0,17731467,6822709,917368,107216120,1023244,61136616,76121810,52455358,2363132
2009,845145,36058741,123589,54308250,5457,187958,8465778,0,17545972,7515371,825738,107224713,1072400,65611661,71951251,59177399,2684314
2010,1546123,40885522,146950,62767222,37852,195644,10149653,0,22203575,8935162,1150327,118271670,4294870,68152724,70621571,62567626,2733706
2011,1384406,39131349,197978,68952842,37369,156053,10749542,0,23791336,12046834,1580100,118040688,7181311,69480707,71706038,69578814,2877993
2012,1981199,35685485,264243,76386995,138121,239222,14609288,0,28546977,11582557,1264902,118763839,7765133,64461509,70202138,74601938,3080783
2013,2184346,38074350,302056,80861254,581864,231663,14048956,0,30309811,12206499,1285358,121230287,7927838,67705185,68716362,68300364,3181681
2014,799391,37424885,513395,73425270,399737,151727,9961740,0,28777547,10011236,808047,122694924,7618852,77493308,73125603,75684560,3080679
2015,768860,47218627,2816369,68377707,383433,168642,9065208,8660,45075935,8066843,687366,114076266,6539840,78460707,84607657,58739603,3029468
2016,874131,51006660,3105758,65939273,429418,186769,13583162,2840978,57085319,10598883,1156380,111645164,9674002,69054766,81884729,58252913,3122549
2017,841569,26550923,2673615,62555723,480426,184668,22677064,3052432,61850744,20911898,1293887,131897043,9715713,66047667,84097328,55565893,3133515
2018,640739,38495982,2649458,62929390,514494,183668,20588807,3718198,74188981,30980843,1626983,129631997,11742504,60066483,76124555,53192098,3371318
2019,1846891,37527898,2877895,60052894,562074,167975,29016048,2463629,73976878,28715887,1604430,123904967,12282266,55753829,79827085,48465021,3994629
2020,5122176,40647380,2568644,57135627,609551,167834,29808674,3552567,72512661,27875047,2221149,114103936,12599529,58217106,85865577,35332874,3821827
2021,5343889,40353946,2811756,60506261,644018,182180,31503575,3776643,82232650,30622785,2204815,111228524,14322433,61841016,81381671,43885393,3967926
