송전단_전력량A,송변전손실_배전량B,송변전손실_손실량_A_B,송변전손실_손실률
1683584.0,1495254.0,188330.0,11.19
1890865.0,1705277.0,185587.0,9.82
2133558.0,1901285.0,232273.0,10.89
2551965.0,2277420.0,274545.0,10.76
3049563.0,2702991.0,346572.0,11.37
3672543.0,3280203.0,392340.0,10.68
4671385.0,4171591.0,499794.0,10.7
5743657.0,5163366.0,580291.0,10.1
7348356.0,6746892.0,601464.0,8.19
8779743.0,8173241.0,606501.0,6.91
10028273.0,9443795.0,584479.0,5.83
11207639.0,10585345.0,622294.0,5.5
13955724.0,13112567.0,843156.0,6.04
15911799.0,14979995.0,931804.0,5.86
18751727.0,17608161.0,1143567.0,6.1
21918877.0,20693990.0,1225107.0,5.59
25171533.0,23866930.0,1304603.0,5.18
29843603.0,28403229.0,1440374.0,4.83
33668645.0,32175201.0,1493444.0,4.44
35082857.0,33705573.0,1377284.0,3.92
37950201.0,36453163.0,1497037.0,3.95
40554656.0,38936063.0,1618593.0,3.99
45494797.0,43840673.0,1654124.0,3.64
50237757.0,48360775.0,1876982.0,3.73
53908278.0,52134071.0,1774207.0,3.29
59818134.0,57846423.0,1971711.0,3.3
68274720.0,65820530.0,2454190.0,3.59
78855492.0,76166959.0,2688533.0,3.41
87512175.0,84519879.0,2992296.0,3.42
100002741.0,96761186.0,3241555.0,3.24
110571199.0,107078182.0,3493017.0,3.16
122308820.0,118204055.0,4104765.0,3.36
135272537.0,130952464.0,4320073.0,3.19
155218428.0,150306190.0,4912238.0,3.16
172693293.0,166906729.0,5786564.0,3.35
192882960.0,186585026.0,6297934.0,3.27
211028738.0,204637553.0,6391185.0,3.03
203430303.0,196888056.0,6542247.0,3.22
225802022.0,218519533.0,7282489.0,3.23
251953275.2,244460311.62,7492963.58,2.974
269842045.989,262296171.636,7545874.353,2.796
290058444.0,282149982.0,7908462.0,2.727
305644685.0,297326501.0,8318184.0,2.722
324885244.304,316019419.494,8865824.81,2.729
346207397.941,336548985.915,9658412.026,2.79
363053967.756,356260248.924,6793718.832,1.871
384693239.719,378009888.744,6683350.976,1.737
401726292.934,394246885.467,7479407.467,1.862
411631123.086,404757942.561,6873180.525,1.67
451432992.118,444144048.612,7288943.506,1.615
472650335.63,465440439.82,7209895.81,1.525
484334191.4004,476693295.188,7640896.0,1.41817438098679
491002788.0,483172107.0,7830681.0,1.59483
494716612.59,486874854.084,7841758.506,1.5851
499239420.894,491285577.0,7953843.894,1.59319
514118988.0,505937374.0,8181614.0,1.59
525710752.0,517358021.0,8352731.0,1.59
543231595.7,534612230.2,8619365.574,1.586683404
536197809.487,527752245.289,8445564.198,1.575
525850762.0,517571775.0,8278987.0,1.57
549623783.305,540972704.668,8651078.637,1.574
