월별(1),2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
월별(1),전기판매수입,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용,합계,주택용,일반용,교육용,산업용,농사용,가로등,심야용
월별(1),소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
합계,57217586406,7790409259,15198335856,903498217,31191485295,877588497,407555748,848713533,56556500292,7623684703,15147479418,889053067,30821348917,901438826,406828844,766666517,55918578210,8232506704,14955272361,781516149,29914726353,921881230,401011598,711663815,57671487528,8723165593,15358188585,856494476,30730573149,946732375,389133677,667199674,66030084285,9826366412,17692429103,1012042827,35127215030,1218629359,426407864,726993690
1월,5524578249,721839395,1499596707,95148716,2925769555,87688401,36508942,158026533,5539349522,729519090,1500145056,95599411,2940602745,91593412,36489535,145400274,5263717595,726062593,1452732857,88494920,2745920676,88872763,35918196,125715591,5447558737,835362064,1474259432,92308119,2788518891,93504818,34733357,128872055,5716393333,844730081,1545238431,99652770,2965453570,103974118,35536816,121807547
2월,5326658587,739366146,1512490218,93206282,2685521866,91873517,36134449,168066108,5056588626,709494114,1411013324,81752863,2586924410,90420911,36116656,140866348,5144859683,728163574,1407682872,79179057,2682014718,88811569,35597369,123410524,5092461086,783878886,1410955696,80837961,2571025085,90567425,34160437,121035597,5478392173,839720704,1545714850,88040677,2740383914,105045194,35110721,124376113
3월,4309974979,565797021,1136611946,76406409,2312707793,75518683,33755637,109177490,4276042001,560211923,1128636280,73037594,2309428441,77102389,33747559,93877816,4341433049,649886714,1145465932,61204281,2282060488,79966820,33855128,88993685,4225351220,603197598,1119574374,71279161,2242640103,77430655,31989501,79239829,4613879154,680388923,1246201306,81574937,2395279397,91335155,32758449,86340985
4월,4065825269,587069399,1000661447,61310311,2249708970,68235521,34350129,64489491,4118060522,604279773,1019585428,64764753,2255873322,72585666,34293920,66677659,3985000351,663142682,981983014,46487572,2125534011,75238584,34186900,58427588,4027838324,632688935,995376764,56140746,2190119151,71604279,32717797,49190651,4537889065,709902706,1120872802,67961238,2461663780,86492416,34286907,56709217
5월,3919445453,528194417,951856502,51129918,2254813948,57460421,32778079,43212168,3959254287,537225366,981427886,52753137,2249432160,62577800,33127300,42710639,3783490466,595472935,960563008,42513008,2045200089,65215921,32690203,41835302,3873994064,577625822,964517069,46892749,2155823577,63123120,31437227,34574499,4454265515,648211127,1119359522,54796045,2480253111,80952631,34123766,36569313
6월,4651140457,560090303,1184576947,68520647,2715682918,59556060,32595411,30118170,4620973900,556398979,1193499048,67499189,2680458741,63085068,32756271,27276604,4660904600,630891427,1230811042,63780853,2606984822,68111829,32270470,28054156,4803930471,619401850,1233749115,66608972,2762050093,63953965,30873686,27292790,5249382157,689433144,1389696826,76141438,2946972428,85572398,33631940,27933983
7월,5323011643,677098067,1477649859,84111099,2963120688,62583086,31665573,26783270,5158970203,565038656,1460353782,81393745,2930590475,64969940,31761641,24861963,5091793783,624464940,1457889082,72993449,2816189283,66777618,31085636,22393776,5448066996,750209474,1522671061,81012046,2970617737,69701420,30216567,23638690,6437414502,959268491,1825567222,100603834,3390630709,99073611,33980019,28290616
8월,5980581228,1074220532,1722708310,89481058,2953300618,83108832,32668503,25093375,5650745091,847141988,1643894502,82119458,2940755041,79617017,32309957,24907128,5276701747,768446004,1545177435,66461774,2761868553,78029715,31399604,25318662,5796367336,1123747093,1651171232,75934894,2806196303,87458430,30959076,20900307,6664079415,1161325195,1938027575,93345785,3295864221,114354478,34501737,26660423
9월,4381851575,605363076,1285387794,74964801,2289751870,72851379,33012037,20520618,4476417471,727352586,1298364968,75277325,2243198172,78176570,32894474,21153377,4726616633,914540103,1307869065,62523760,2307249041,81908660,32117776,20408228,4503710579,754340334,1270919523,66374521,2279262574,81857441,31185733,19770453,5281265762,904150513,1520629336,82162470,2607949505,107188915,35315171,23869851
10월,3873101126,518093460,955724273,50322575,2226162520,60752904,33663433,28381961,3940924721,561280998,1007504887,54528064,2194924135,64563500,33468987,24654149,3814870305,591144343,962579236,44008530,2093394928,65930434,33037424,24775411,4100230816,653089236,1042898379,54217409,2222670262,74008270,32568657,20778603,5078136640,743711743,1260874090,66860936,2845777754,95894693,37014948,28002476
11월,4703124745,580543463,1120855398,68658406,2756247147,78286849,35059684,63473796,4632090085,585342488,1134220168,68166441,2680550379,77422658,34802301,51585651,4630943589,635139531,1134736179,66658556,2625500584,79660838,34409177,54838724,4882568309,673011842,1194552818,71766550,2772639971,85972296,33962893,50661940,5931705082,787796080,1431452594,82840144,3403987442,125614586,39943714,60070522
12월,5158293094,632733980,1350216455,90237995,2858697402,79672842,35363870,111370551,5127083862,640398742,1368834090,92161087,2808610897,79323894,35060243,102694910,5198246407,705151858,1367782639,87210388,2822809159,83356479,34443715,97492168,5469409590,716612457,1477543122,93121349,2969009402,87550258,34328745,91244258,6587281487,857727704,1748794549,118062552,3592999200,123131162,40203676,106362644
