,SUM,CODE
0,4822165527,11680
1,1659002911,11740
2,933057384,11305
3,2752726888,11500
4,1735923906,11620
5,1616000742,11215
6,1927165220,11530
7,1691615940,11545
8,1540077109,11350
9,894640767,11320
10,1457688805,11230
11,1298388010,11590
12,2265952571,11440
13,1297534970,11410
14,3291898448,11650
15,2235049568,11200
16,1497474928,11290
17,3084332404,11710
18,1797687350,11470
19,2782100589,11560
20,1514990326,11170
21,1505391521,11380
22,1721240046,11110
23,2305199597,11140
24,1161371859,11260
25,4491695411,26440
26,1104615249,26410
27,1313541377,26710
28,1459825533,26290
29,544537061,26170
30,1008088900,26260
31,1756379671,26230
32,918248667,26320
33,1584171750,26530
34,2470647619,26380
35,612659709,26140
36,651142116,26500
37,830476485,26470
38,477156080,26200
39,365650006,26110
40,1904812334,26350
41,616070809,27200
42,3941051056,27290
43,4137069945,27710
44,1582888104,27140
45,2368433512,27230
46,944817842,27170
47,1736383773,27260
48,712545187,27110
49,633925964,28710
50,1347136062,28245
51,3953839319,28200
52,3638901648,28140
53,1826829348,28177
54,2349353763,28237
55,5909885351,28260
56,2996195618,28185
57,248814146,28720
58,2601982759,28110
59,3645268735,29200
60,775951329,29155
61,652104565,29110
62,2405994325,29170
63,1637551768,29140
64,2807341875,30230
65,945416085,30110
66,1966874213,30170
67,3316997069,30200
68,980247887,30140
69,15787924496,31140
70,1485672606,31170
71,2487339659,31200
72,12430462032,31710
73,727781923,31110
74,749296787,41820
75,5347693282,41280
76,443210916,41290
77,1242907748,41210
78,2850229697,41610
79,832561104,41310
80,1537864501,41410
81,4462287251,41570
82,3598329220,41360
83,659356722,41250
84,4364762895,41190
85,5653975175,41130
86,6190818249,41110
87,4932378039,41390
88,8220494933,41270
89,3627923712,41550
90,3030655776,41170
91,2410046971,41630
92,1017854021,41830
93,1506673290,41670
94,620805003,41800
95,1485598049,41370
96,11069229520,41460
97,870437616,41430
98,1834035053,41150
99,9022047679,41500
100,9576428441,41480
101,17344125148,41220
102,2840388407,41650
103,1953408683,41450
104,21235187982,41590
105,2130575430,51150
106,353482701,51820
107,2416038112,51170
108,1417206952,51230
109,565370552,51210
110,213499501,51800
111,333039331,51830
112,1142257036,51750
113,2646364637,51130
114,351062623,51810
115,643705376,51770
116,514735169,51780
117,1908792237,51110
118,310851543,51190
119,652328250,51760
120,759358176,51720
121,269818957,51790
122,697033833,51730
123,612320630,43760
124,1897274598,43800
125,415402675,43720
126,458589752,43740
127,666895583,43730
128,3334726730,43770
129,1680259074,43150
130,596327339,43745
131,2965207781,43750
132,13982650962,43110
133,2802571531,43130
134,281452745,44250
135,1206253101,44150
136,986162291,44710
137,1477054673,44230
138,6949115907,44270
139,1434317603,44180
140,705084127,44760
141,10142748735,44210
142,1179681381,44770
143,13580547044,44200
144,1353783557,44810
145,8620936834,44130
146,374052149,44790
147,910055040,44825
148,1058392929,44800
149,689902661,45790
150,6009126725,45130
151,1174710411,45210
152,692743281,45190
153,227543153,45730
154,511014574,45800
155,283580902,45770
156,1847550434,45710
157,3158035396,45140
158,316041343,45750
159,228432239,45740
160,4592910367,45110
161,1887467909,45180
162,219414559,45720
163,414740649,46810
164,574376465,46770
165,442245099,46720
166,5051271157,46230
167,185101593,46730
168,1402724837,46170
169,553879681,46710
170,1090983903,46110
171,748275605,46840
172,323728308,46780
173,2245633678,46150
174,339039673,46910
175,14843714123,46130
176,852428573,46870
177,1243196337,46830
178,1127185071,46890
179,662426840,46880
180,397141308,46800
181,369784317,46900
182,433085805,46860
183,809942817,46820
184,554198773,46790
185,2839477501,47290
186,4081956157,47130
187,1337684828,47830
188,9685182749,47190
189,337084746,27720
190,2455900736,47150
191,617603105,47280
192,1813301259,47920
193,820027284,47250
194,1104011634,47840
195,1234274849,47170
196,302606540,47770
197,114945470,47760
198,1765423538,47210
199,1608601732,47230
200,406533675,47900
201,72327956,47940
202,729757932,47930
203,461982107,47730
204,512660517,47820
205,210557058,47750
206,2051636852,47850
207,10037495147,47110
208,1984381537,48310
209,485264775,48880
210,808189985,48820
211,5529742164,48250
212,284521671,48840
213,1339200967,48270
214,1429265705,48240
215,373354218,48860
216,3856396399,48330
217,407037911,48720
218,2802674942,48170
219,1069591276,48740
220,10747982227,48120
221,998292775,48220
222,437230556,48850
223,2903998378,48730
224,300610905,48870
225,433183384,48890
226,3600355259,50110
227,2445000131,50130
228,3822388136,36110
